LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-10-22 21:07:58,1900-01-00 00:00:00,,3A:20:85:96:A8:84,-42, ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:58,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:58,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:58,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:58,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:58,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:58,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:58,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:58,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:59,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:59,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:59,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:59,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:59,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:59,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-22 21:07:59,1900-01-00 00:00:00,Neyuh,3A:20:85:96:A8:84,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
